x,y,count
1463.899261,1187.701599,0
1437.798482,1207.779121,0
1423.744216,1201.755864,0
1401.658941,1205.771369,0
1389.612428,1205.771369,0
1369.534905,1203.763617,0
1361.503896,1199.748112,0
1355.480639,1183.686094,0
1353.472887,1171.639581,0
1353.472887,1151.562058,0
1349.457383,1147.546554,0
1331.387612,1145.538801,0
1325.364356,1145.538801,0
1323.356603,1161.600819,0
1307.294585,1177.662837,0
1297.255824,1177.662837,0
1273.162797,1179.67059,0
1261.116284,1179.67059,0
1247.062018,1171.639581,0
1237.023257,1145.538801,0
1235.015504,1129.476783,0
1222.968991,1133.492288,0
1208.914725,1137.507792,0
1190.844955,1139.515545,0
1160.728671,1145.538801,0
1146.674406,1151.562058,0
1120.573626,1155.577563,0
1106.519361,1151.562058,0
1092.465095,1159.593067,0
1086.441838,1157.585315,0
1080.418581,1153.56981,0
1064.356563,1151.562058,0
1038.255784,1141.523297,0
1024.201518,1143.531049,0
992.0774824,1179.67059,0
980.0309689,1207.779121,0
992.0774824,1205.771369,0
1010.147253,1221.833387,0
1040.263536,1233.8799,0
1032.232527,1225.848891,0
1054.317802,1219.825635,0
1062.348811,1211.794626,0
1072.387572,1193.724855,0
1072.387572,1185.693846,0
1070.37982,1171.639581,0
1064.356563,1163.608572,0
988.0619779,1199.748112,0
988.0619779,1187.701599,0
994.0852346,1171.639581,0
998.1007391,1159.593067,0
1006.131748,1147.546554,0
959.9534464,1239.903157,0
976.0154644,1249.941918,0
998.1007391,1261.988432,0
1000.108491,1282.065954,0
996.0929869,1298.127972,0
976.0154644,1322.220999,0
957.9456941,1342.298522,0
947.9069329,1346.314026,0
931.8449149,1346.314026,0
917.7906491,1336.275265,0
907.7518879,1328.244256,0
897.7131267,1304.151229,0
903.7363834,1292.104716,0
909.7596402,1288.089211,0
923.8139059,1272.027193,0
945.8991806,1243.918662,0
949.9146851,1241.910909,0
1534.17059,1237.895405,0
1504.054306,1249.941918,0
1473.938022,1268.011689,0
1435.790729,1268.011689,0
1357.488392,1270.019441,0
1309.302338,1263.996184,0
1188.837203,1251.949671,0
1122.581379,1266.003936,0
1134.627892,1225.848891,0
1014.162757,904.6085315,0
1102.503856,862.4457343,0
1084.434086,842.3682118,0
1068.372068,822.2906893,0
1042.271289,786.1511488,0
1036.248032,764.0658741,0
1030.224775,721.9030768,0
1044.279041,691.7867931,0
1062.348811,675.7247751,0
1076.403077,621.5154644,0
1026.209271,559.2751446,0
1018.178262,549.2363834,0
