Asset Details,,,,,Heat Map Detail,,,Asset Property Values,,
Unique Identifier,Name,Location,Section,Monitor Class,X,Y,Symbol,Pump Volume,Well depth (mBTOC),Pump Install Depth (mBTOC)
SNCVB001,Manifold,Suntown,Well Station B,Gas Collection System,,,B001,,,
SNCVB002,Manifold,Suntown,Well Station B,Gas Collection System,,,B002,,,
SNCVB003,Manifold,Suntown,Well Station B,Gas Collection System,,,B003,,,
SNCVC001,Manifold,Suntown,Well Station C,Gas Collection System,,,C001,,,
SNCVD001,Manifold,Suntown,Well Station D,Gas Collection System,,,D001,,,
SNCVD002,Manifold,Suntown,Well Station D,Gas Collection System,,,D002,,,
SNCVD003,Manifold,Suntown,Well Station D,Gas Collection System,,,D003,,,
SNCVE001,Manifold,Suntown,Well Station E,Gas Collection System,,,E001,,,
SNCVE002,Manifold,Suntown,Well Station E,Gas Collection System,,,E002,,,
SNCVF001,Manifold,Suntown,Well Station F,Gas Collection System,,,F001,,,
SNCVG001,Manifold,Suntown,Well Station G,Gas Collection System,,,G001,,,
SNCVG002,Manifold,Suntown,Well Station G,Gas Collection System,,,G002,,,
SNCVH001,Manifold,Suntown,Well Station H,Gas Collection System,,,H001,,,
SNCVH002,Manifold,Suntown,Well Station H,Gas Collection System,,,H002,,,
SNCVK001,Manifold,Suntown,Well Station H,Gas Collection System,,,K001,,,
SNCVK002,Manifold,Suntown,Well Station H,Gas Collection System,,,K002,,,
SNGW0001,Gas well,Suntown,Suntown,Gas Extraction,,,0001,,,
SNGWA001,Gas well,Suntown,Well Station A,Gas Extraction,536334.133,6909498.97,A001,,,
SNGWA002,Gas well,Suntown,Well Station A,Gas Extraction,536272.855,6909440.27,A002,,,
SNGWA003,Gas well,Suntown,Well Station A,Gas Extraction,536257.697,6909381.32,A003,,,
SNGWA004,Gas well,Suntown,Well Station A,Gas Extraction,536254.822,6909332.73,A004,,,
SNGWA010,Gas well,Suntown,Well Station A,Gas Extraction,536317.814,6909452.32,A010,,,
SNGWA011,Gas well,Suntown,Well Station A,Gas Extraction,536300.638,6909406.3,A011,,,
SNGWA012,Gas well,Suntown,Well Station A,Gas Extraction,536295.363,6909356.88,A012,,,
SNGWA013,Gas well,Suntown,Well Station A,Gas Extraction,536280.874,6909260.29,A013,,,
SNGWA023,Gas well,Suntown,Well Station A,Gas Extraction,536345.119,6909378.28,A023,,,
SNGWA024,Gas well,Suntown,Well Station A,Gas Extraction,536351.097,6909416.96,A024,,,
SNGWA025,Gas well,Suntown,Well Station A,Gas Extraction,536365.164,6909467.25,A025,,,
SNGWA051,Gas well,Suntown,Well Station A,Gas Extraction,536379.47,6909437.91,A051,,,
SNGWA052,Gas well,Suntown,Well Station A,Gas Extraction,536384.82,6909400.38,A052,,,
SNGWA053,Gas well,Suntown,Well Station A,Gas Extraction,536387.586,6909361.59,A053,,,
SNGWA054,Gas well,Suntown,Well Station A,Gas Extraction,536391.509,6909322.71,A054,,,
SNGWB006,Gas well,Suntown,Well Station B,Gas Extraction,536242.76,6909233.66,B006,,,
SNGWB014,Gas well,Suntown,Well Station B,Gas Extraction,536331.239,6909273.21,B014,,,
SNGWB015,Gas well,Suntown,Well Station B,Gas Extraction,536279.405,6909203.02,B015,,,
SNGWB020,Gas well,Suntown,Well Station B,Gas Extraction,536291.771,6909304.77,B020,,,
SNGWB021,Gas well,Suntown,Well Station B,Gas Extraction,536366.767,6909303.18,B021,,,
SNGWB026,Gas well,Suntown,Well Station B,Gas Extraction,536391.285,6909263.98,B026,,,
SNGWB027,Gas well,Suntown,Well Station B,Gas Extraction,536320.604,6909215.01,B027,,,
SNGWB037,Gas well,Suntown,Well Station B,Gas Extraction,536414.153,6909197.46,B037,,,
SNGWB039,Gas well,Suntown,Well Station B,Gas Extraction,536374.193,6909214.09,B039,,,
SNGWC009,Gas well,Suntown,Well Station C,Gas Extraction,536212.77,6909089.04,C009,,,
SNGWC016,Gas well,Suntown,Well Station C,Gas Extraction,536271.866,6909150.66,C016,,,
SNGWC017,Gas well,Suntown,Well Station C,Gas Extraction,536261.366,6909103.47,C017,,,
SNGWC019,Gas well,Suntown,Well Station C,Gas Extraction,536361.949,6909169.28,C019,,,
SNGWC028,Gas well,Suntown,Well Station C,Gas Extraction,536312.288,6909176.9,C028,,,
SNGWC029,Gas well,Suntown,Well Station C,Gas Extraction,536309.515,6909128.39,C029,,,
SNGWC030,Gas well,Suntown,Well Station C,Gas Extraction,536402.835,6909083.81,C030,,,
SNGWC038,Gas well,Suntown,Well Station C,Gas Extraction,536392.44,6909145.26,C038,,,
SNGWC057,Gas well,Suntown,Well Station C,Gas Extraction,536276.143,6909424.21,C057,,,
SNGWC058,Gas well,Suntown,Well Station C,Gas Extraction,536274.703,6909397.42,C058,,,
SNGWC059,Gas well,Suntown,Well Station C,Gas Extraction,536270.756,6909359.25,C059,,,
SNGWC060,Gas well,Suntown,Well Station C,Gas Extraction,536270.952,6909335.38,C060,,,
SNGWD030,Gas well,Suntown,Well Station D,Gas Extraction,0,0,D030,,,
SNGWD031,Gas well,Suntown,Well Station D,Gas Extraction,536481.994,6909132.93,D031,,,
SNGWD032,Gas well,Suntown,Well Station D,Gas Extraction,536518.106,6909165.43,D032,,,
SNGWD033,Gas well,Suntown,Well Station D,Gas Extraction,536564.792,6909194.87,D033,,,
SNGWD034,Gas well,Suntown,Well Station D,Gas Extraction,536617.86,6909217.26,D034,,,
SNGWD035,Gas well,Suntown,Well Station D,Gas Extraction,536434.609,6909109.19,D035,,,
SNGWD041,Gas well,Suntown,Well Station D,Gas Extraction,536521.152,6909127.51,D041,,,
SNGWD042,Gas well,Suntown,Well Station D,Gas Extraction,536544.305,6909145.65,D042,,,
SNGWD043,Gas well,Suntown,Well Station D,Gas Extraction,536572.086,6909175.18,D043,,,
SNGWD044,Gas well,Suntown,Well Station D,Gas Extraction,536522.512,6909197.81,D044,,,
SNGWD055,Gas well,Suntown,Well Station D,Gas Extraction,536517.301,6909230.26,D055,,,
SNGWD056,Gas well,Suntown,Well Station D,Gas Extraction,536492.039,6909197.96,D056,,,
SNGWE045,Gas well,Suntown,Well Station E,Gas Extraction,536576.607,6909249.59,E045,,,
SNGWE046,Gas well,Suntown,Well Station E,Gas Extraction,536556.864,6909260.64,E046,,,
SNGWE047,Gas well,Suntown,Well Station E,Gas Extraction,536553.253,6909222.48,E047,,,
SNGWE048,Gas well,Suntown,Well Station E,Gas Extraction,536541.153,6909291.67,E048,,,
SNGWE049,Gas well,Suntown,Well Station E,Gas Extraction,536575.005,6909309.34,E049,,,
SNGWE050,Gas well,Suntown,Well Station E,Gas Extraction,536598.894,6909280.15,E050,,,
SNGWF073,Gas well,Suntown,Well Station F,Gas Extraction,536374.199,6909074.6,F073,,,
SNGWF074,Gas well,Suntown,Well Station F,Gas Extraction,536390.262,6909057.02,F074,,,
SNGWF075,Gas well,Suntown,Well Station F,Gas Extraction,536411.027,6909078.36,F075,,,
SNGWG060,Gas well,Suntown,Well Station G,Gas Extraction,536271.726,6909336.03,G060,,,
SNGWG061,Gas well,Suntown,Well Station G,Gas Extraction,536273.995,6909316.42,G061,,,
SNGWG062,Gas well,Suntown,Well Station G,Gas Extraction,536277.977,6909297.2,G062,,,
SNGWG063,Gas well,Suntown,Well Station G,Gas Extraction,536274.662,6909265.56,G063,,,
SNGWG064,Gas well,Suntown,Well Station G,Gas Extraction,536269.746,6909235.36,G064,,,
